x, All-day, Late night, Low power
0,166.14207619,134.743733333,139.023210256
1,167.791274131,134.762432432,146.441826577
2,156.411428571,152.487142857,123.758916667
3,165.118737542,130.888837209,145.265581395
4,159.139892857,121.6,149.087012195
5,162.287655678,133.221282051,139.046068376
6,163.184652015,129.699871795,141.152959866
7,160.62487013,130.715909091,136.906767677
8,142.046086957,137.533913043,137.617889855
9,159.778065476,128.709583333,135.535138889
10,159.969148352,120.378653846,141.038300177
11,164.832833333,138.4145,142.863388889
12,161.285422078,134.052386364,137.687467733
13,161.711160714,125.609791667,136.985555556
14,163.337518797,110.087894737,136.01364315
15,163.117109635,125.181627907,145.807566949
16,167.369772727,131.403181818,145.534267677
17,161.820821429,125.982,145.677596491
18,161.137120879,123.092615385,135.472430199
19,161.677932331,138.672894737,142.689868421
20,178.267142857,155.7525,142.510587607
21,164.171168831,132.196060606,144.794949495
22,163.111168831,130.128181818,144.542121212
23,163.859308756,130.302580645,141.256236559
